date,sales
2023-01-01,276.21
2023-01-02,308.41
2023-01-03,326.74
2023-01-04,331.64
2023-01-05,313.72
2023-01-06,275.36
2023-01-07,273.53
2023-01-08,280.88
2023-01-09,303.37
2023-01-10,338.26
2023-01-11,340.85
2023-01-12,304.42
2023-01-13,296.95
2023-01-14,271.36
2023-01-15,288.48
2023-01-16,312.06
2023-01-17,341.98
2023-01-18,321.86
2023-01-19,308.71
2023-01-20,282.89
2023-01-21,281.49
2023-01-22,274.17
2023-01-23,308.33
2023-01-24,356.49
2023-01-25,337.23
2023-01-26,312.37
2023-01-27,292.54
2023-01-28,278.02
2023-01-29,296.0
2023-01-30,288.43
2023-01-31,321.0
2023-02-01,337.36
2023-02-02,323.46
2023-02-03,281.82
2023-02-04,292.72
2023-02-05,286.65
2023-02-06,297.88
2023-02-07,315.29
2023-02-08,320.87
2023-02-09,304.91
2023-02-10,300.15
2023-02-11,289.17
2023-02-12,288.78
2023-02-13,311.4
2023-02-14,317.19
2023-02-15,327.13
2023-02-16,316.74
2023-02-17,284.59
2023-02-18,288.36
2023-02-19,284.79
2023-02-20,294.66
2023-02-21,329.07
2023-02-22,323.47
2023-02-23,318.15
2023-02-24,301.29
2023-02-25,274.35
2023-02-26,283.24
2023-02-27,293.41
2023-02-28,327.23
2023-03-01,340.38
2023-03-02,323.79
2023-03-03,296.83
2023-03-04,282.22
2023-03-05,305.18
2023-03-06,304.64
2023-03-07,314.16
2023-03-08,324.48
2023-03-09,312.83
2023-03-10,283.49
2023-03-11,291.21
2023-03-12,292.16
2023-03-13,306.6
2023-03-14,330.6
2023-03-15,326.45
2023-03-16,323.17
2023-03-17,302.87
2023-03-18,296.24
2023-03-19,284.14
2023-03-20,318.46
2023-03-21,315.19
2023-03-22,308.02
2023-03-23,317.88
2023-03-24,296.09
2023-03-25,268.82
2023-03-26,272.62
2023-03-27,311.86
2023-03-28,338.68
2023-03-29,325.63
2023-03-30,309.51
2023-03-31,318.95
2023-04-01,276.21
2023-04-02,270.47
2023-04-03,331.79
2023-04-04,328.22
2023-04-05,337.12
2023-04-06,307.71
2023-04-07,303.94
2023-04-08,279.53
2023-04-09,291.93
2023-04-10,310.81
2023-04-11,330.8
2023-04-12,340.41
2023-04-13,321.94
2023-04-14,287.23
2023-04-15,285.9
2023-04-16,274.68
2023-04-17,291.64
2023-04-18,325.9
2023-04-19,342.19
2023-04-20,313.71
2023-04-21,293.74
2023-04-22,287.03
2023-04-23,276.85
2023-04-24,304.69
2023-04-25,330.3
2023-04-26,326.3
2023-04-27,335.92
2023-04-28,301.92
2023-04-29,272.2
2023-04-30,296.45
2023-05-01,304.85
2023-05-02,318.44
2023-05-03,327.45
2023-05-04,330.22
2023-05-05,319.43
2023-05-06,279.83
2023-05-07,284.4
2023-05-08,307.84
2023-05-09,332.37
2023-05-10,332.89
2023-05-11,329.61
2023-05-12,290.1
2023-05-13,287.54
2023-05-14,285.19
2023-05-15,312.9
2023-05-16,338.95
2023-05-17,340.57
2023-05-18,320.3
2023-05-19,317.79
2023-05-20,289.57
2023-05-21,294.63
2023-05-22,296.86
2023-05-23,325.89
2023-05-24,345.78
2023-05-25,318.07
2023-05-26,293.56
2023-05-27,276.44
2023-05-28,298.87
2023-05-29,317.04
2023-05-30,324.27
2023-05-31,352.61
2023-06-01,316.31
2023-06-02,311.94
2023-06-03,287.57
2023-06-04,296.8
2023-06-05,315.35
2023-06-06,326.65
2023-06-07,326.61
2023-06-08,343.37
2023-06-09,295.56
2023-06-10,300.31
2023-06-11,286.55
2023-06-12,304.39
2023-06-13,324.01
2023-06-14,330.22
2023-06-15,352.45
2023-06-16,278.12
2023-06-17,284.87
2023-06-18,286.67
2023-06-19,299.99
2023-06-20,349.54
2023-06-21,341.35
2023-06-22,316.17
2023-06-23,309.28
2023-06-24,301.75
2023-06-25,295.27
2023-06-26,317.66
2023-06-27,321.5
2023-06-28,339.19
2023-06-29,329.13
2023-06-30,299.73
2023-07-01,285.47
2023-07-02,291.59
2023-07-03,310.45
2023-07-04,325.78
2023-07-05,345.49
2023-07-06,338.42
2023-07-07,316.03
2023-07-08,292.37
2023-07-09,309.26
2023-07-10,315.83
2023-07-11,332.88
2023-07-12,340.34
2023-07-13,324.86
2023-07-14,317.58
2023-07-15,265.84
2023-07-16,299.5
2023-07-17,305.55
2023-07-18,319.08
2023-07-19,328.43
2023-07-20,320.59
2023-07-21,313.51
2023-07-22,284.11
2023-07-23,290.71
